,Open,High,Low,Close,Volume,return_1d,return_lag1,return_lag2,return_lag3,return_lag4,return_lag5,return_5d,return_10d,ma5_ratio,ma10_ratio,ma20_ratio,ma50_ratio,ma_cross_5_20,vol_5d,vol_10d,vol_20d,rsi_14,macd,macd_hist,bb_position,hl_range,co_change,vol_change,vol_ma_ratio,dayofweek,target
2023-06-22 00:00:00+00:00,30010.0,30505.0,29600.0,29889.0,3777.4314,-0.003998816,0.05982697,0.054876685,0.019058466,-0.006300211,0.0066076517,0.12758899,0.15374815,0.05693270624845281,0.10344853047044866,0.11715577350394613,0.10223589153547441,0.05697909327572326,0.03146823044060484,0.027978776355821827,0.029403073553423892,74.33386144318018,0.014057841114807117,0.01603287527875923,1.2080532586511894,0.030278698,-0.0040319893,-0.37497443,0.579727179676389,3,1
2023-06-23 00:00:00+00:00,29891.0,31458.0,29820.0,30716.0,4388.3857,0.027669072,-0.003998816,0.05982697,0.054876685,0.019058466,-0.006300211,0.16613519,0.18439114,0.05357032605936696,0.11430758459066004,0.14030935661768118,0.13117772703837383,0.08232865753038165,0.026355831634646318,0.02779819402403693,0.029690561692838964,77.32438016528926,0.020869695494907105,0.01823324294694443,1.2027268354951697,0.053327255,0.027600281,0.16173804,0.7062216350026691,4,0
2023-06-24 00:00:00+00:00,30703.0,30821.0,30287.0,30548.0,1211.735,-0.0054694414,0.027669072,-0.003998816,0.05982697,0.054876685,0.019058466,0.13806725,0.21574402,0.021829445332726793,0.08683895941253494,0.1269122795368105,0.12416197529846529,0.1028379390357721,0.03110257291923501,0.02370531298280687,0.029798620588300264,82.19629375428964,0.025971065755922732,0.018656091141775726,0.9734658757948248,0.017480686,-0.0050483667,-0.72387683,-0.532704756276789,5,0
2023-06-25 00:00:00+00:00,30550.0,31047.0,30295.0,30477.0,1480.2711,-0.0023242235,-0.0054694414,0.027669072,-0.003998816,0.05982697,0.054876685,0.07635534,0.19176471,0.004919578736340968,0.06571880157775478,0.11455278190209417,0.12025800817045473,0.10909649437183222,0.028504146189946525,0.02474186728912372,0.026680034160205302,81.1881188118812,0.029465052644798373,0.01770642950270846,0.8298244727257527,0.024674345,-0.0023895253,0.22161293,-0.4019629129479151,6,0
2023-06-26 00:00:00+00:00,30480.0,30657.0,29941.0,30274.0,2062.0793,-0.0066607594,-0.0023242235,-0.0054694414,0.027669072,-0.003998816,0.05982697,0.008830667,0.14966011,-0.003515378133558067,0.044229900281804735,0.10101285618169586,0.11132402249812601,0.10489698688924043,0.014528113203402178,0.025485237483369727,0.02419138686373952,79.35483870967742,0.03149777658313831,0.015728245511698612,0.6953340834061034,0.023650657,-0.00675853,0.3930416,-0.1336018168387474,0,1
2023-06-27 00:00:00+00:00,30278.0,31025.0,30235.0,30696.0,2087.558,0.013939381,-0.0066607594,-0.0023242235,-0.0054694414,0.027669072,-0.003998816,0.02699995,0.15803373,0.005035655584731957,0.04370533073109706,0.10760304395989007,0.1243338278116588,0.10205348218763866,0.014934006122231376,0.025343506465225048,0.02250524077760447,80.39315802910392,0.033225451714766645,0.014138172587430586,0.7101383112891914,0.025736252,0.013805403,0.012355804,-0.10581661817308174,1,0
2023-06-28 00:00:00+00:00,30697.0,30712.0,29868.0,30079.0,1867.5457,-0.020100355,0.013939381,-0.0066607594,-0.0023242235,-0.0054694414,0.027669072,-0.020738363,0.14195144,-0.011040677564869705,0.009887693263274544,0.07839604766181418,0.0997774046730393,0.09043519101115538,0.012175941405374638,0.026960124263668128,0.023361983341159437,82.39141810570382,0.03361183181286994,0.011306417607144048,0.5101437318513189,0.028059443,-0.02013226,-0.10539228,-0.20579088144897217,2,1
2023-06-29 00:00:00+00:00,30078.0,30825.0,30041.0,30444.0,1924.6183,0.012134671,-0.020100355,0.013939381,-0.0066607594,-0.0023242235,-0.0054694414,-0.003404498,0.1341927,0.0016450615253009726,0.009928776866248379,0.08378856084028863,0.11082731896696418,0.08200859013860629,0.014084876798316376,0.026895527231447086,0.02332232827811624,82.20282956498744,0.03355832929198127,0.009216271792696065,0.5376938284217915,0.025752202,0.012168362,0.030560255,-0.19629896325906004,3,1
2023-06-30 00:00:00+00:00,30445.0,31268.0,29508.0,30469.0,4944.39,0.0008212328,0.012134671,-0.020100355,0.013939381,-0.0066607594,-0.0023242235,-0.00026249886,0.07607281,0.0025203669338387247,0.003586944707033357,0.07584667887200114,0.10892497350430341,0.07314196734219713,0.01405895972949299,0.02263634266732291,0.022230711653042984,80.28705330990041,0.033487713005013714,0.007332502649683917,0.49178831014720903,0.05776363,0.00078830676,1.5690238,0.9871459646105516,4,1
2023-07-01 00:00:00+00:00,30469.0,30647.0,30321.0,30592.0,603.9348,0.0040369034,0.0008212328,0.012134671,-0.020100355,0.013939381,-0.0066607594,0.010504007,0.019427538,0.0044654583661676295,0.005707072035346927,0.07139229866741381,0.11034568365455888,0.06662930989195726,0.013593069435954043,0.013264872515746626,0.022221663864849982,80.13870444149329,0.03326009711033294,0.005768038349444601,0.47085120125061913,0.010656381,0.00403689,-0.8778545,-0.7552277637093845,5,1
