,Open,High,Low,Close,Volume
2017-05-28 00:00:00+00:00,2042.89,2313.96,2041.48,2178.81,15375.218
2017-05-29 00:00:00+00:00,2172.54,2350.0,2110.0,2292.1,12129.278
2017-05-30 00:00:00+00:00,2290.18,2339.08,2160.0,2203.51,13888.851
2017-05-31 00:00:00+00:00,2201.7,2334.0,2154.28,2298.01,16279.292
2017-06-01 00:00:00+00:00,2298.01,2456.39,2296.81,2413.63,18401.664
2017-06-02 00:00:00+00:00,2413.58,2489.0,2370.03,2488.94,12428.7
2017-06-03 00:00:00+00:00,2488.94,2584.34,2445.0,2540.94,10810.585
2017-06-04 00:00:00+00:00,2538.1,2569.0,2460.0,2530.27,8828.625
2017-06-05 00:00:00+00:00,2530.27,2699.35,2525.28,2698.0,12221.444
2017-06-06 00:00:00+00:00,2698.0,2933.0,2689.4,2880.74,26695.67
2017-06-07 00:00:00+00:00,2875.71,2893.28,2612.5,2683.03,16967.043
2017-06-08 00:00:00+00:00,2680.24,2815.0,2613.13,2806.0,13251.405
2017-06-09 00:00:00+00:00,2805.46,2868.23,2780.43,2822.32,8036.3135
2017-06-10 00:00:00+00:00,2818.0,2912.98,2800.0,2899.99,9593.361
2017-06-11 00:00:00+00:00,2899.01,2967.46,2861.53,2954.22,6830.607
2017-06-12 00:00:00+00:00,2954.23,2980.0,2480.03,2667.06,31534.945
2017-06-13 00:00:00+00:00,2656.97,2783.62,2638.62,2703.02,16275.834
2017-06-14 00:00:00+00:00,2705.99,2801.0,2320.0,2450.0,29478.82
2017-06-15 00:00:00+00:00,2451.42,2516.2,2120.0,2424.91,36751.09
2017-06-16 00:00:00+00:00,2424.96,2540.0,2307.66,2484.68,13802.394
2017-06-17 00:00:00+00:00,2484.68,2674.4,2420.53,2630.0,11142.985
2017-06-18 00:00:00+00:00,2630.06,2665.0,2460.62,2516.98,9424.231
2017-06-19 00:00:00+00:00,2516.98,2598.0,2480.96,2598.0,10570.673
2017-06-20 00:00:00+00:00,2598.0,2783.0,2581.0,2740.0,15891.699
2017-06-21 00:00:00+00:00,2734.03,2789.0,2611.0,2657.04,15676.323
2017-06-22 00:00:00+00:00,2658.67,2740.0,2594.61,2713.48,10792.788
2017-06-23 00:00:00+00:00,2713.48,2745.0,2657.46,2685.05,8232.48
2017-06-24 00:00:00+00:00,2685.05,2724.96,2512.13,2557.66,13342.817
2017-06-25 00:00:00+00:00,2557.66,2635.72,2432.0,2502.03,10339.574
2017-06-26 00:00:00+00:00,2502.26,2550.03,2315.01,2421.22,22094.21
2017-06-27 00:00:00+00:00,2421.21,2565.0,2291.0,2565.0,19129.596
2017-06-28 00:00:00+00:00,2565.0,2593.0,2468.01,2559.9,12274.545
2017-06-29 00:00:00+00:00,2550.99,2594.78,2500.31,2541.59,8125.3774
2017-06-30 00:00:00+00:00,2538.41,2564.58,2451.0,2465.49,8715.717
2017-07-01 00:00:00+00:00,2465.48,2517.11,2390.0,2412.41,8885.894
2017-07-02 00:00:00+00:00,2421.3,2528.72,2374.34,2504.37,8744.534
2017-07-03 00:00:00+00:00,2504.81,2595.0,2472.68,2550.47,11520.707
2017-07-04 00:00:00+00:00,2540.07,2639.47,2540.07,2596.12,9662.76
2017-07-05 00:00:00+00:00,2594.52,2623.0,2530.1,2602.9,10882.839
2017-07-06 00:00:00+00:00,2598.37,2614.0,2522.0,2600.39,8333.981
2017-07-07 00:00:00+00:00,2599.01,2605.0,2475.0,2501.46,9430.615
2017-07-08 00:00:00+00:00,2501.46,2555.0,2462.0,2550.07,5405.891
2017-07-09 00:00:00+00:00,2550.13,2564.65,2500.5,2502.28,4483.144
2017-07-10 00:00:00+00:00,2504.0,2527.88,2261.85,2323.45,17296.34
2017-07-11 00:00:00+00:00,2326.12,2399.0,2242.62,2305.98,17580.96
2017-07-12 00:00:00+00:00,2301.55,2408.84,2239.54,2388.0,12883.555
2017-07-13 00:00:00+00:00,2383.97,2425.16,2312.93,2339.99,8429.851
2017-07-14 00:00:00+00:00,2340.0,2357.84,2140.0,2213.37,12659.017
2017-07-15 00:00:00+00:00,2209.44,2219.99,1967.65,1970.51,19886.68
2017-07-16 00:00:00+00:00,1970.51,2044.44,1830.0,1917.63,25562.705
2017-07-17 00:00:00+00:00,1917.72,2229.97,1910.57,2226.0,26448.502
2017-07-18 00:00:00+00:00,2226.0,2392.0,2164.0,2303.71,25204.49
2017-07-19 00:00:00+00:00,2308.82,2402.5,2223.0,2265.21,17009.883
2017-07-20 00:00:00+00:00,2265.51,2938.0,2265.51,2875.03,30989.89
2017-07-21 00:00:00+00:00,2880.0,2887.45,2611.39,2670.0,20724.16
2017-07-22 00:00:00+00:00,2667.01,2882.0,2644.59,2832.71,12819.631
2017-07-23 00:00:00+00:00,2824.82,2855.0,2640.0,2749.02,11001.965
2017-07-24 00:00:00+00:00,2756.8,2800.0,2701.0,2759.98,10001.915
2017-07-25 00:00:00+00:00,2759.95,2775.79,2450.0,2564.82,21326.549
2017-07-26 00:00:00+00:00,2564.74,2608.96,2400.0,2524.99,17713.674
2017-07-27 00:00:00+00:00,2524.99,2695.0,2509.63,2666.33,11826.476
2017-07-28 00:00:00+00:00,2666.33,2825.0,2655.82,2777.01,14069.502
2017-07-29 00:00:00+00:00,2777.01,2785.65,2631.78,2680.56,10782.218
2017-07-30 00:00:00+00:00,2681.6,2774.45,2569.69,2742.37,9678.161
2017-07-31 00:00:00+00:00,2745.76,2889.99,2680.01,2855.81,11114.336
2017-08-01 00:00:00+00:00,2855.81,2929.17,2615.0,2731.0,12525.077
2017-08-02 00:00:00+00:00,2732.0,2760.0,2650.0,2703.51,9486.626
2017-08-03 00:00:00+00:00,2703.51,2807.44,2698.83,2793.37,7963.6978
2017-08-04 00:00:00+00:00,2793.34,2877.52,2765.91,2855.0,7635.822
2017-08-05 00:00:00+00:00,2851.01,3339.66,2848.32,3263.62,16996.273
2017-08-06 00:00:00+00:00,3263.51,3296.51,3146.1,3222.75,5998.736
2017-08-07 00:00:00+00:00,3216.78,3430.0,3186.0,3387.55,12046.117
2017-08-08 00:00:00+00:00,3387.54,3490.0,3300.0,3412.41,15835.37
2017-08-09 00:00:00+00:00,3408.46,3423.1,3178.72,3342.99,14286.844
2017-08-10 00:00:00+00:00,3342.99,3448.0,3311.17,3413.03,9031.121
2017-08-11 00:00:00+00:00,3410.0,3705.0,3390.67,3645.06,11927.373
2017-08-12 00:00:00+00:00,3651.74,3934.0,3586.95,3855.1,12351.074
2017-08-13 00:00:00+00:00,3855.04,4190.0,3841.71,4053.87,15889.83
2017-08-14 00:00:00+00:00,4053.87,4329.43,3964.96,4306.23,14212.304
2017-08-15 00:00:00+00:00,4320.95,4400.0,3800.0,4155.67,25515.719
2017-08-16 00:00:00+00:00,4154.99,4379.78,3926.06,4378.84,12923.638
2017-08-17 00:00:00+00:00,4361.99,4480.0,4167.21,4276.5,14573.186
2017-08-18 00:00:00+00:00,4260.47,4368.0,3964.96,4100.0,17516.994
2017-08-19 00:00:00+00:00,4100.0,4188.0,3900.0,4099.55,15036.184
2017-08-20 00:00:00+00:00,4091.99,4125.95,4000.0,4058.68,6237.9727
2017-08-21 00:00:00+00:00,4058.64,4080.0,3949.78,3987.52,9782.057
2017-08-22 00:00:00+00:00,3987.51,4139.31,3600.0,4085.0,23522.758
2017-08-23 00:00:00+00:00,4078.0,4248.97,4051.94,4108.12,14979.403
2017-08-24 00:00:00+00:00,4121.78,4350.0,4082.57,4300.34,10782.694
2017-08-25 00:00:00+00:00,4308.8,4449.98,4270.0,4355.98,9699.61
2017-08-26 00:00:00+00:00,4348.17,4369.78,4232.43,4333.38,6559.6685
2017-08-27 00:00:00+00:00,4333.38,4393.3,4290.32,4337.68,3979.1245
2017-08-28 00:00:00+00:00,4329.91,4399.72,4169.01,4379.99,8641.003
2017-08-29 00:00:00+00:00,4385.0,4649.78,4336.26,4578.82,11879.643
2017-08-30 00:00:00+00:00,4578.82,4642.22,4479.0,4573.2,8720.035
2017-08-31 00:00:00+00:00,4573.15,4765.21,4566.66,4734.26,8911.412
2017-09-01 00:00:00+00:00,4734.26,4935.0,4671.09,4921.7,15367.529
2017-09-02 00:00:00+00:00,4921.71,4979.9,4488.5,4599.9,16977.793
2017-09-03 00:00:00+00:00,4599.9,4700.0,4385.0,4606.26,11224.914
2017-09-04 00:00:00+00:00,4603.68,4613.97,4058.5,4277.0,25069.125
2017-09-05 00:00:00+00:00,4282.53,4474.88,4001.93,4396.52,20884.219
2017-09-06 00:00:00+00:00,4397.38,4649.23,4356.42,4605.8,16634.104
2017-09-07 00:00:00+00:00,4605.81,4674.34,4475.0,4615.0,9254.852
2017-09-08 00:00:00+00:00,4615.0,4679.97,4125.99,4312.0,23693.3
2017-09-09 00:00:00+00:00,4327.41,4379.78,4164.0,4308.72,9974.389
2017-09-10 00:00:00+00:00,4322.44,4322.44,4010.0,4226.22,14724.204
2017-09-11 00:00:00+00:00,4226.21,4353.49,4092.4,4207.31,11191.595
2017-09-12 00:00:00+00:00,4198.89,4377.65,4080.0,4172.56,13294.4375
2017-09-13 00:00:00+00:00,4170.6,4179.14,3720.01,3865.34,29636.38
2017-09-14 00:00:00+00:00,3861.89,3921.74,3210.0,3227.79,41319.4
2017-09-15 00:00:00+00:00,3227.79,3820.0,2972.01,3700.01,60278.945
2017-09-16 00:00:00+00:00,3699.89,3872.9,3500.0,3678.93,23158.229
2017-09-17 00:00:00+00:00,3669.07,3772.52,3463.0,3662.99,11770.218
2017-09-18 00:00:00+00:00,3662.95,4122.7,3659.42,4101.6,17207.6
2017-09-19 00:00:00+00:00,4102.0,4119.7,3848.35,3888.8,15278.931
2017-09-20 00:00:00+00:00,3888.8,4050.0,3820.56,3874.46,11660.271
2017-09-21 00:00:00+00:00,3864.0,3914.0,3573.0,3617.05,17904.297
2017-09-22 00:00:00+00:00,3607.83,3761.84,3514.0,3612.18,15007.738
2017-09-23 00:00:00+00:00,3611.91,3810.25,3552.0,3779.17,10123.232
2017-09-24 00:00:00+00:00,3781.13,3783.25,3615.0,3664.22,6508.725
2017-09-25 00:00:00+00:00,3667.01,3968.59,3658.39,3918.0,14979.782
2017-09-26 00:00:00+00:00,3920.66,3970.0,3850.61,3888.03,10014.624
2017-09-27 00:00:00+00:00,3883.95,4226.73,3870.0,4199.29,15075.839
2017-09-28 00:00:00+00:00,4202.34,4270.01,4123.5,4184.84,9625.93
2017-09-29 00:00:00+00:00,4183.47,4227.62,4022.02,4164.82,12191.931
2017-09-30 00:00:00+00:00,4162.04,4349.0,4154.28,4326.09,7496.7827
2017-10-01 00:00:00+00:00,4326.09,4377.22,4216.0,4377.22,7211.335
2017-10-02 00:00:00+00:00,4369.33,4453.0,4352.0,4391.48,8259.818
2017-10-03 00:00:00+00:00,4391.41,4425.0,4218.0,4315.83,12468.058
2017-10-04 00:00:00+00:00,4315.73,4343.0,4170.07,4219.53,8518.993
2017-10-05 00:00:00+00:00,4219.74,4358.97,4137.96,4301.09,8419.963
2017-10-06 00:00:00+00:00,4301.09,4425.0,4278.4,4362.95,8377.302
